TYPE,YEAR,MONTH,Observations,YEAR-MONTH
Break and Enter Commercial,2003,1,303,2003-01-01
Break and Enter Commercial,2003,2,254,2003-02-01
Break and Enter Commercial,2003,3,292,2003-03-01
Break and Enter Commercial,2003,4,266,2003-04-01
Break and Enter Commercial,2003,5,290,2003-05-01
