Zero Values,Missing Values,% of Total Values,Total Zero Missing Values,% Total Zero Missing Values,Data Type
0,144,0.0,144,0.0,object
77225,76,0.0,77301,8.8,float64
77225,76,0.0,77301,8.8,float64
0,12,0.0,12,0.0,object
