variable,Zero Values,Missing Values,% of Total Values,Total Zero Missing Values,% Total Zero Missing Values,Data Type
NEIGHBOURHOOD,0,144,0.0,144,0.0,object
X,77225,76,0.0,77301,8.8,float64
Y,77225,76,0.0,77301,8.8,float64
HUNDRED_BLOCK,0,12,0.0,12,0.0,object
