variable,count,mean,std,min,25%,50%,75%,max
YEAR,879861.0,2012.2651998440663,6.183902050690086,2003.0,2006.0,2012.0,2018.0,2023.0
MONTH,879861.0,6.51668274875236,3.3918567302577527,1.0,4.0,7.0,9.0,12.0
DAY,879861.0,15.384997175690252,8.757134542855628,1.0,8.0,15.0,23.0,31.0
HOUR,879861.0,12.313421097196034,7.463912665376853,0.0,7.0,14.0,18.0,23.0
MINUTE,879861.0,15.861387196386701,18.360418502544032,0.0,0.0,5.0,30.0,59.0
X,879785.0,449007.420281589,139304.30014693123,0.0,490187.8745,491569.91,493380.1076,511303.0
Y,879785.0,4977853.253103157,1544127.0721489715,0.0,5454211.412,5457169.6864,5458718.0583,5512579.0
